Position,weekday
"46.757038,38.74205,back",6
"46.932434,38.664986,back",6
"47.09845,38.583378,back",6
"47.270203,38.500515,back",6
"47.446594,38.415001,back",6
"47.626568,38.327435,back",6
"47.799469,38.24263,back",6
"47.967922,38.159615,back",6
"48.134319,38.077194,back",6
"48.302166,37.993561,back",6
"48.471081,37.908978,back",6
"48.638924,37.824436,back",6
"48.805477,37.740326,back",6
"48.97126,37.656013,back",6
"49.137344,37.571045,back",6
"49.304771,37.48558,back",6
"49.471554,37.399883,back",6
"49.637665,37.317112,back",6
"49.807953,37.250587,back",6
"49.991474,37.177917,back",6
"50.159718,37.111221,back",6
"50.339115,37.039753,back",6
"50.50869,36.971882,back",6
"50.688591,36.900795,back",6
"50.876427,36.843201,back",6
"51.063194,36.785339,back",6
"51.241608,36.730087,back",6
"51.427296,36.672222,back",6
"51.578472,36.625065,back",6
"51.8498,36.540295,back",6
"52.03791,36.480988,back",6
"52.217316,36.424099,back",6
"52.406246,36.36377,back",6
"52.584515,36.306473,back",6
"52.771683,36.245956,back",6
"52.952759,36.187103,back",6
"53.135727,36.120811,back",6
"53.318996,36.050034,back",6
"53.501015,35.979263,back",6
"53.681828,35.908581,back",6
"53.862648,35.837448,back",6
"54.036724,35.768692,back",6
"54.220276,35.695744,back",6
"54.39537,35.625824,back",6
"54.562283,35.544846,back",6
"54.698753,35.448624,back",6
"56.385254,33.717957,back",6
"56.49971,33.596748,back",6
"56.617313,33.471664,back",6
"56.729168,33.352112,back",6
"56.839058,33.234341,back",6
"56.962372,33.113911,back",6
"57.08271,32.995422,back",6
"57.205208,32.874023,back",6
"57.325481,32.754246,back",6
"57.445587,32.634476,back",6
"57.566051,32.513718,back",6
"57.685284,32.393887,back",6
"57.806305,32.271595,back",6
"57.893074,32.183796,back",6
"58.225464,31.844803,back",6
"58.339073,31.728149,back",6
"58.462482,31.601009,back",6
"58.582493,31.476929,back",6
"58.701405,31.353516,back",6
"58.815636,31.234642,back",6
"58.927917,31.117401,back",6
"59.045967,30.993668,back",6
"59.157555,30.876297,back",6
"59.270142,30.757437,back",6
"59.387241,30.633408,back",6
"59.499043,30.514666,back",6
"59.615662,30.390326,back",6
"59.731804,30.266235,back",6
"59.842854,30.147125,back",6
